imre,dtype,time,mlp_tk,attn_tk,mlp_rk,mlp_mbm,attn_full_step_every,attn_full_step_schedule,attn_local_voxels,attn_local_1d_window,attn_recompute_mask,mlp_full_step_every,mlp_block_mask_cache,step_caching
63.30305573658548,bf16,2.519,0.3,0.1,0.05,128,10,,0,0,False,10,1,True
74.21500444241616,bf16,2.616,0.3,0.3,0.05,16,20,,0,0,False,10,1,True
69.83270797820298,bf16,4.543,0.3,0.1,0.05,128,20,,0,0,True,20,3,False
52.82638526265511,bf16,2.453,0.3,0.1,0.05,16,10,,0,0,False,20,2,True
67.68888004793553,bf16,2.582,0.3,0.165,0.05,16,10,,0,0,False,10,1,True
63.42454115010333,bf16,4.551,0.3,0.1,0.05,128,20,,0,0,False,20,2,False
78.26333388144839,bf16,4.706,0.3,0.165,0.05,128,20,,0,0,True,10,3,False
55.79871905234168,bf16,2.553,0.3,0.3,0.05,128,10,,0,0,True,20,3,True
75.96409787322048,bf16,4.654,0.3,0.1,0.05,128,20,,0,0,True,20,1,False
74.33775149477884,bf16,4.641,0.3,0.165,0.05,16,20,,0,0,False,20,2,False
58.653782471898,bf16,4.545,0.3,0.1,0.05,16,20,,0,0,False,20,3,False
75.77996867906772,bf16,2.583,0.3,0.3,0.05,128,20,,0,0,False,10,1,True
76.24098880798553,bf16,4.629,0.3,0.1,0.05,16,10,,0,0,True,20,3,False
73.53979574656124,bf16,4.648,0.3,0.1,0.05,16,20,,0,0,True,10,3,False
57.663339731370776,bf16,2.478,0.3,0.1,0.05,16,10,,0,0,False,20,1,True
65.52951771346852,bf16,2.613,0.3,0.3,0.05,16,20,,0,0,False,10,2,True
80.718624502595,bf16,4.775,0.3,0.1,0.05,16,10,,0,0,True,20,1,False
43.75671311689076,bf16,2.356,0.3,0.1,0.05,128,20,,0,0,False,20,2,True
73.19273323379457,bf16,4.699,0.3,0.165,0.05,16,20,,0,0,False,10,3,False
79.29306529252797,bf16,4.775,0.3,0.165,0.05,128,10,,0,0,False,20,1,False
70.45550143721907,bf16,2.498,0.3,0.165,0.05,128,20,,0,0,True,10,1,True
50.997296488494634,bf16,2.472,0.3,0.1,0.05,16,20,,0,0,True,10,3,True
44.05163013958378,bf16,2.428,0.3,0.1,0.05,16,10,,0,0,False,20,3,True
57.81494491267946,bf16,2.491,0.3,0.165,0.05,128,20,,0,0,False,10,2,True
63.06724784575641,bf16,2.504,0.3,0.165,0.05,16,20,,0,0,True,10,3,True
74.07288391655314,bf16,4.661,0.3,0.1,0.05,128,20,,0,0,True,10,2,False
58.18725610373077,bf16,2.511,0.3,0.3,0.05,16,20,,0,0,True,20,3,True
67.16732074879111,bf16,4.776,0.3,0.1,0.05,16,20,,0,0,False,10,1,False
68.18855493146107,bf16,2.63,0.3,0.3,0.05,16,20,,0,0,True,10,2,True
52.83072659932083,bf16,2.524,0.3,0.3,0.05,128,10,,0,0,False,20,3,True
40.96651790005851,bf16,2.349,0.3,0.1,0.05,128,20,,0,0,False,20,3,True
79.50020229094655,bf16,4.725,0.3,0.1,0.05,128,10,,0,0,True,10,3,False
70.81687333745502,bf16,4.795,0.3,0.3,0.05,128,20,,0,0,False,20,3,False
71.86100841336889,bf16,4.624,0.3,0.1,0.05,16,10,,0,0,False,20,2,False
79.31392761599277,bf16,5.058,0.3,0.3,0.05,16,20,,0,0,True,10,1,False
68.12231780830193,bf16,2.655,0.3,0.3,0.05,16,10,,0,0,True,10,3,True
